Stream,S,D84,D50,Q,h,w,tau,D,Fi,Qsi t/day,qsi,excess_grain_stress,gs_ratio,V_adj,h_adj,Wi_star
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.39926376893671206,0.25818997219278694,4.597006589063571,28.874417350208102,0.008,0.2,0.012671405525308,0.0027564471096159994,0.036185324970973,0.8711678333234184,1.2041921049710171,0.0903147718447552,0.0005262462728494048
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.39926376893671206,0.25818997219278694,4.597006589063571,28.874417350208102,0.004,0.02,0.007679639712308,0.0016705740058279997,0.07960780878593801,1.0402516176588272,1.2941506103126905,0.08461256469393146,0.003189371350602684
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.39926376893671206,0.25818997219278694,4.597006589063571,28.874417350208102,0.002,0.01,0.009215567654769002,0.002004688806993,0.167436766249932,1.2418544252155852,1.3906067977491947,0.07925134656364481,0.007654491241444152
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.39926376893671206,0.25818997219278694,4.597006589063571,28.874417350208102,0.0005,0.01,0.031486522820461,0.006849353423893001,4.57110998253518,1.7686074486399048,1.6048736835950803,0.06947785687174678,0.026152845074935146
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.676766246637406,0.30681799991024705,4.84994454959404,34.3126842019626,0.008,0.2,0.014472964019243998,0.002984150410638,0.061172916356365,1.169405624670867,1.4653386571910365,0.12123335842556722,0.00043979256472468904
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.676766246637406,0.30681799991024705,4.84994454959404,34.3126842019626,0.004,0.02,0.02985048828969,0.006154810221941,0.12666570651811,1.398184267403909,1.576166752532342,0.1137262896509628,0.009070721647446897
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.676766246637406,0.30681799991024705,4.84994454959404,34.3126842019626,0.002,0.01,0.020804885777663002,0.004289716215293,0.256011081658268,1.6712054352707966,1.6950289295959502,0.10665121325045838,0.01264403623583739
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,0.676766246637406,0.30681799991024705,4.84994454959404,34.3126842019626,0.0005,0.01,0.10583354939071801,0.021821599877792,6.4459318234577,2.385500656645332,1.9591735823448106,0.09371184844738688,0.06431966259099058
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.10434659493133,0.360099772841781,5.09709166503137,40.2713979959877,0.016,0.4,0.05623253536139199,0.011032278612366001,0.044386117348775,1.275165686411568,1.6258268799401545,0.16849385784412174,0.0006393657672843534
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.10434659493133,0.360099772841781,5.09709166503137,40.2713979959877,0.008,0.2,0.023046121049751,0.004521425660805999,0.09117678125204401,1.5275145434501358,1.7509945347013818,0.15835883994356376,0.0005240703010527789
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.10434659493133,0.360099772841781,5.09709166503137,40.2713979959877,0.004,0.02,0.018436896839801004,0.0036171405286449998,0.183316030908737,1.8290786384859272,1.885301472559625,0.14877461568143066,0.004192562408422464
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.10434659493133,0.360099772841781,5.09709166503137,40.2713979959877,0.002,0.01,0.046092242099502,0.009042851321611001,0.3629051103368521,2.1893512210671098,2.0293993349358366,0.13971769061434672,0.020962812042108845
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.10434659493133,0.360099772841781,5.09709166503137,40.2713979959877,0.0005,0.01,0.154869933454325,0.030383980440613,8.732208538177941,3.13339705202016,2.3497960863088854,0.12309216048480802,0.07043504846148581
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.87738921138326,0.4283311356766839,5.3791420047975596,47.90198422726629,0.016,0.4,0.274824993518278,0.05109086045194,0.066330431022078,1.6861545329755072,1.958670898073694,0.22279981747462058,0.0022824022123834695
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.87738921138326,0.4283311356766839,5.3791420047975596,47.90198422726629,0.008,0.2,0.30801140782992,0.05726032284613599,0.132770869942782,2.023958712110768,2.1123326919387084,0.2098256642582292,0.0051160260911538415
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.87738921138326,0.4283311356766839,5.3791420047975596,47.90198422726629,0.004,0.02,0.211563391236712,0.039330322763003,0.26209442820281303,2.4282844831627193,2.2773280639369906,0.19751315397065947,0.035140381232168255
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.87738921138326,0.4283311356766839,5.3791420047975596,47.90198422726629,0.002,0.01,0.162820845216489,0.030268924871526003,0.511998617506375,2.9120494711379385,2.4544624235330788,0.18583807985993803,0.0540886260142183
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.87738921138326,0.4283311356766839,5.3791420047975596,47.90198422726629,0.0005,0.01,0.6201711174487939,0.115291828491547,11.962296294551498,4.18244869100651,2.848657942525598,0.16430303499549476,0.20601909781212188
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.68200481381849,0.413211964927736,5.31947424427011,46.2111468857284,0.008,0.2,0.141157491429724,0.026535985503035996,0.12329297027448001,1.9108358352527077,2.0328724934650215,0.1980981113998064,0.0025022132183630213
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.68200481381849,0.413211964927736,5.31947424427011,46.2111468857284,0.004,0.02,0.107884654164146,0.020281074634463,0.24411960365127802,2.2915644773844974,2.1910247120060884,0.1863925460932117,0.019124058168917164
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.68200481381849,0.413211964927736,5.31947424427011,46.2111468857284,0.002,0.01,0.23593466424682397,0.044353004340787996,0.477936435531109,2.746938449166425,2.3607853822845,0.1753012000469355,0.08364541329956247
Cat Spur Creek,0.0114,0.07332000000000001,0.027000000000000003,1.68200481381849,0.413211964927736,5.31947424427011,46.2111468857284,0.0005,0.01,1.2018552127445001,0.22593496228298898,11.2202235819799,3.942196277927946,2.7384956254250796,0.15486497524865783,0.42609116518409695
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.339802,0.21117508940265398,5.83769505061335,41.43255254080071,0.0005,0.01,0.07992,0.013690334850841998,4.73172685286847,1.191658384539242,1.5121166552985572,0.04511150699118233,0.03561861111868878
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.339802,0.21117508940265398,5.83769505061335,41.43255254080071,0.002,0.01,0.0033200000000000005,0.000568717613924,0.149994677984191,0.8387321494253092,1.3123116206190744,0.05157982324279287,0.0014796520134393702
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.339802,0.21117508940265398,5.83769505061335,41.43255254080071,0.0005,0.01,0.41216,0.07060320835989799,4.73172685286847,1.191658384539242,1.5121166552985572,0.04511150699118233,0.18369077525874367
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.002,0.01,0.0017100000000000001,0.00028235963314099995,0.196422664540477,0.9758058143161157,1.4516560064103785,0.060009493443409445,0.0006503288843478127
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.0005,0.01,0.03466,0.005723149055368,5.700645923729731,1.3874257580508071,1.673493193565594,0.052522491005889724,0.01318151995995517
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.002,0.01,0.00454,0.000749656569861,0.196422664540477,0.9758058143161157,1.4516560064103785,0.060009493443409445,0.001726604172481911
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.4417428,0.229050373251436,6.0561064659834,44.9396832319318,0.0005,0.01,0.10613,0.017524460739936,5.700645923729731,1.3874257580508071,1.673493193565594,0.052522491005889724,0.040362224851413345
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.679604,0.261740951207732,6.4325860411984195,51.353574626957,0.002,0.01,0.00047999999999999996,7.46200667858574e-05,0.28883946092783197,1.2485129511977444,1.710869229908336,0.07678026576570632,0.000140693832258107
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.679604,0.261740951207732,6.4325860411984195,51.353574626957,0.0005,0.01,0.0261,0.004057466131481,7.63825835986078,1.7777102003128007,1.9742012589773532,0.0672971274067901,0.007650227129034575
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.679604,0.261740951207732,6.4325860411984195,51.353574626957,0.002,0.01,0.00124,0.000192768505863,0.28883946092783197,1.2485129511977444,1.710869229908336,0.07678026576570632,0.00036345906666589975
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.679604,0.261740951207732,6.4325860411984195,51.353574626957,0.0005,0.01,0.07651000000000001,0.011894127728721001,7.63825835986078,1.7777102003128007,1.9742012589773532,0.0672971274067901,0.022426010637641693
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.004,0.01,0.031760000000000004,0.00482953757733,0.16058995908677698,1.143489088521271,1.6898369310273766,0.08962910970553838,0.008462632657459893
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.002,0.01,0.07195,0.010940970676604,0.32846110097670694,1.365376107931247,1.8160298403828814,0.08396704282205147,0.01917148676650901
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.0005,0.01,0.39252,0.05968797512134,8.47243616583091,1.945287476805131,2.096395934989872,0.07364094504624726,0.10458918673509084
Fourth of July Creek,0.018000000000000002,0.11,0.0515,0.7957034000000001,0.274842991474073,6.57619896138284,53.92419492721311,0.002,0.01,0.0006,9.123811544075191e-05,0.32846110097670694,1.365376107931247,1.8160298403828814,0.08396704282205147,0.00015987341292432079
